trdar_cd,district_name,obs_count,avg_closure_rate,high_risk_pct,avg_store_count,avg_sales
3130225,개봉중앙시장,676,0.0447,0.1612,5.2,403861316.0
3110595,메디힐병원,511,0.0446,0.2094,7.3,326439937.0
3110066,서울역 15번,233,0.0446,0.1717,7.8,495058871.0
3110675,화곡4동주민센터,256,0.0446,0.2617,9.5,74180979.0
3110984,포이초등학교(개포목련어린이공원),438,0.0445,0.1918,8.1,287978620.0
3130066,행당시장상점가,720,0.0445,0.1806,8.2,670264615.0
3110388,도봉우체국,196,0.0444,0.1071,4.6,193460455.0
3110362,우이천 계성교,357,0.0444,0.1737,6.1,103632967.0
3130284,관악종합시장(신원시장),56,0.0444,0.1429,5.4,71543153.0
3120058,구의사거리,625,0.0444,0.1552,5.5,588690135.0
3110855,신대방역 2번,628,0.0444,0.2245,9.1,436611295.0
3110638,신방화역 2번,987,0.0443,0.2148,8.5,454875482.0
3110827,NH농협은행 상도동지점,363,0.0443,0.1515,6.5,244641130.0
3110992,도곡초등학교,473,0.0443,0.2347,13.8,709615535.0
3111069,천호1동주민센터,218,0.0443,0.1697,5.5,40743805.0
3110707,구로창업지원센터,266,0.0443,0.1203,6.5,211865170.0
3110075,숙대입구역 1번,269,0.0443,0.1487,5.4,210493692.0
3111054,암사역 4번(삼성광나루아파트),75,0.0442,0.1333,4.3,176969653.0
3120091,본서부병원,824,0.0442,0.2282,9.7,666675271.0
3110219,삼육보건대학교,548,0.0442,0.188,6.8,442178121.0
3110626,양화초등학교,253,0.0442,0.1818,6.8,81848503.0
3130190,홍대소상공인상점가,412,0.0442,0.3714,15.6,1192236377.0
3110731,금천구청역 1번 출입구,377,0.0441,0.2255,7.6,261533573.0
3111021,방이역 4번,888,0.0441,0.2691,14.5,710595853.0
3110348,강북문화예술회관,270,0.0441,0.137,5.0,167848958.0
3120120,화곡역,801,0.0441,0.3159,13.3,951128144.0
3110825,신대방삼거리역 1번,271,0.044,0.2177,7.4,77041873.0
3120180,양재화물트럭터미널앞,303,0.044,0.2673,12.1,379977898.0
3110293,삼선중학교,381,0.044,0.1864,7.3,294079417.0
3110714,구로4동주민센터,739,0.044,0.2449,9.2,530148480.0
3110156,군자역 5번,262,0.044,0.1718,5.1,261569751.0
3110089,서빙고동주민센터,76,0.0439,0.0789,2.8,505572841.0
3110210,서울시립대,256,0.0439,0.125,5.4,177713934.0
3110575,대흥동주민센터,98,0.0439,0.1327,6.1,96330338.0
3110007,사직공원(한국사회과학도서관),41,0.0439,0.1707,4.9,185044259.0
3110162,군자역 4번,273,0.0439,0.1868,7.6,119488904.0
3110633,개화산역 1번,157,0.0439,0.2866,9.5,246250990.0
3110085,경리단길남측,431,0.0438,0.3225,12.0,385097731.0
3110572,서강대역 1번,470,0.0438,0.2447,8.8,299616510.0
3110737,금천세무서,114,0.0438,0.1754,5.9,261383685.0
3110757,양평역 2번,461,0.0438,0.167,7.0,492914446.0
3111071,천동초등학교,101,0.0438,0.1485,4.1,67899439.0
3111079,둔촌고등학교(둔촌중학교),174,0.0438,0.1207,4.8,214977647.0
3110744,독산동성당,624,0.0438,0.2083,8.1,258177785.0
3120067,장안동사거리,1305,0.0438,0.3257,17.2,1172590924.0
3110660,등촌3동주민센터,1023,0.0437,0.2483,10.7,507192084.0
3120087,응암역,560,0.0437,0.1357,4.6,571677482.0
3110498,증산역 1번,223,0.0437,0.1435,5.8,272120642.0
3110474,세명컴퓨터고등학교,155,0.0436,0.1032,4.4,109085237.0
3110234,중랑역 4번,158,0.0436,0.1203,5.1,282774361.0
3130205,신곡종합시장(신월6동 골목시장),445,0.0436,0.1079,4.5,677149537.0
3120004,종로구청,614,0.0436,0.2036,8.5,799703595.0
3110910,내방역 5번,88,0.0436,0.0909,3.5,267697713.0
3111039,벌말어린이공원,253,0.0436,0.1542,5.4,367678267.0
3130053,백학시장,519,0.0436,0.2004,8.4,776259231.0
3110049,장충단 고개,202,0.0436,0.2277,9.1,449280638.0
3110383,덕성여대시반거리,305,0.0436,0.1836,5.3,195170332.0
